"salmon.geneid","zebrafish.geneid","human.geneid","zebrafish.genename","zebrafish.genename_full","human.genename","human.genename_full","gene_name_base"
"ENSSSAG00000000131","ENSDARG00000032985","ENSG00000108826","mrpl27","mrpl27","MRPL27","MRPL27","mrpl27"
"ENSSSAG00000000132","ENSDARG00000078132","NA","tex2l","tex2l",NA,NA,"tex2l"
"ENSSSAG00000000133","ENSDARG00000042826","ENSG00000122877","egr2b","egr2b","EGR2","EGR2","egr2"
"ENSSSAG00000000136","ENSDARG00000075046","ENSG00000179580","rnf151","rnf151","RNF151","RNF151","rnf151"
"ENSSSAG00000000137","ENSDARG00000076974","NA","pdzd7a","pdzd7a",NA,NA,"pdzd7a"
"ENSSSAG00000000139","ENSDARG00000077009","ENSG00000128815","wdfy4","wdfy4","WDFY4","WDFY4","wdfy4"
"ENSSSAG00000000140","ENSDARG00000005980","ENSG00000061936","sfswap","sfswap","SFSWAP","SFSWAP","sfswap"
"ENSSSAG00000000141","ENSDARG00000031915","ENSG00000166135","hif1an","hif1an","HIF1AN","HIF1AN","hif1an"
"ENSSSAG00000000142","ENSDARG00000053298","ENSG00000125820","nkx2","nkx2.2a","NKX2-2","NKX2-2","nkx2-2"
"ENSSSAG00000000145","ENSDARG00000101270","ENSG00000145332","klhl8","klhl8","KLHL8","KLHL8","klhl8"
"ENSSSAG00000000147","ENSDARG00000040085","ENSG00000154429","ccsapb","ccsapb","CCSAP","CCSAP","ccsap"
"ENSSSAG00000000151","ENSDARG00000075107","ENSG00000125816","nkx2","nkx2.4a","NKX2-4","NKX2-4","nkx2-4"
"ENSSSAG00000000152","ENSDARG00000074597","ENSG00000107816","lzts2a","lzts2a","LZTS2","LZTS2","lzts2"
"ENSSSAG00000000153","ENSDARG00000055078","ENSG00000143942","chac2","chac2","CHAC2","CHAC2","chac2"
"ENSSSAG00000000154","ENSDARG00000104566","NA","foxi1","foxi1",NA,NA,"foxi1"
"ENSSSAG00000000156","ENSDARG00000055618","ENSG00000143632","acta1b","acta1b","ACTA1","ACTA1","acta1"
"ENSSSAG00000000157","ENSDARG00000019521","ENSG00000121053","mpx","mpx","EPX","EPX","epx"
"ENSSSAG00000000159","ENSDARG00000055078","ENSG00000143942","chac2","chac2","CHAC2","CHAC2","chac2"
"ENSSSAG00000000161","ENSDARG00000056270","ENSG00000171953","atpaf2","atpaf2","ATPAF2","ATPAF2","atpaf2"
"ENSSSAG00000000163","ENSDARG00000043148","ENSG00000079215","slc1a3b","slc1a3b","SLC1A3","SLC1A3","slc1a3"
"ENSSSAG00000000164","ENSDARG00000055078","ENSG00000143942","chac2","chac2","CHAC2","CHAC2","chac2"
"ENSSSAG00000000165","ENSDARG00000100244","ENSG00000108001","ebf3a","ebf3a","EBF3","EBF3","ebf3"
"ENSSSAG00000000166","ENSDARG00000038576","ENSG00000072401","ube2d1b","ube2d1b","UBE2D1","UBE2D1","ube2d1"
"ENSSSAG00000000170","ENSDARG00000034768","ENSG00000118482","phf3","phf3","PHF3","PHF3","phf3"
"ENSSSAG00000000172","ENSDARG00000009217","ENSG00000175662","tom1l2","tom1l2","TOM1L2","TOM1L2","tom1l2"
"ENSSSAG00000000174","ENSDARG00000069615","ENSG00000131730","ckmt2a","ckmt2a","CKMT2","CKMT2","ckmt2"
"ENSSSAG00000000176","ENSDARG00000078915","ENSG00000198598","mmp17a","mmp17a","MMP17","MMP17","mmp17"
"ENSSSAG00000000177","ENSDARG00000000068","ENSG00000109062","nherf1a","nherf1a","NHERF1","NHERF1","nherf1"
"ENSSSAG00000000179","ENSDARG00000094253","ENSG00000214654","b3galt9","b3galt9","B3GALT9","B3GALT9","b3galt9"
"ENSSSAG00000000181","ENSDARG00000076595","ENSG00000095539","sema4ga","sema4ga","SEMA4G","SEMA4G","sema4g"
"ENSSSAG00000000186","ENSDARG00000032831","ENSG00000166033","htra1a","htra1a","HTRA1","HTRA1","htra1"
"ENSSSAG00000000192","ENSDARG00000093875|ENSDARG00000095350|ENSDARG00000098609","NA","si:dkey-4c15","zgc:174224|si:dkey-4c15.12|",NA,NA,"si:dkey-4c15"
"ENSSSAG00000000193","ENSDARG00000109974","ENSG00000184857","tmem186","tmem186","TMEM186","TMEM186","tmem186"
"ENSSSAG00000000195","ENSDARG00000092134","ENSG00000197275","rad54b","rad54b","RAD54B","RAD54B","rad54b"
"ENSSSAG00000000202","ENSDARG00000053527","ENSG00000064652","snx24","snx24","SNX24","SNX24","snx24"
"ENSSSAG00000000205","ENSDARG00000043818","ENSG00000177303","caskin2","caskin2","CASKIN2","CASKIN2","caskin2"
"ENSSSAG00000000210","ENSDARG00000103054|ENSDARG00000113332","ENSG00000079805","dnm2b","dnm2b|","DNM2","DNM2","dnm2"
"ENSSSAG00000000213","ENSDARG00000104210","ENSG00000115380","si:ch73-173h19","si:ch73-173h19.3","EFEMP1","EFEMP1","efemp1"
"ENSSSAG00000000215","ENSDARG00000020242","ENSG00000073712","fermt2","fermt2","FERMT2","FERMT2","fermt2"
"ENSSSAG00000000221","ENSDARG00000023713","ENSG00000240583","aqp1a","aqp1a.1","AQP1","AQP1","aqp1"
"ENSSSAG00000000227","ENSDARG00000089904|ENSDARG00000104083|ENSDARG00000112943","NA","adgre5b","adgre5b.3|adgre5b.2|",NA,NA,"adgre5b"
"ENSSSAG00000000230","ENSDARG00000067805","ENSG00000115486","ggcx","ggcx","GGCX","GGCX","ggcx"
"ENSSSAG00000000236","ENSDARG00000104480","ENSG00000164588","hcn1","hcn1","HCN1","HCN1","hcn1"
"ENSSSAG00000000238","ENSDARG00000060785","ENSG00000126773","pcnx4","pcnx4","PCNX4","PCNX4","pcnx4"
"ENSSSAG00000000240","ENSDARG00000003829","ENSG00000143641","galnt2","galnt2","GALNT2","GALNT2","galnt2"
"ENSSSAG00000000241","ENSDARG00000062978","ENSG00000198003","odad3","odad3","ODAD3","ODAD3","odad3"
"ENSSSAG00000000242","ENSDARG00000116769","ENSG00000198795","ZNF521","ZNF521","ZNF521","ZNF521","znf521"
"ENSSSAG00000000249","ENSDARG00000041600","ENSG00000123154","wdr83","wdr83","WDR83","WDR83","wdr83"
"ENSSSAG00000000255","ENSDARG00000099961","ENSG00000176171","bnip3","bnip3","BNIP3","BNIP3","bnip3"
"ENSSSAG00000000256","ENSDARG00000053918","NA","srfa","srfa",NA,NA,"srfa"
"ENSSSAG00000000262","ENSDARG00000020948","ENSG00000087338|ENSG00000244234","gmcl1","gmcl1","GMCL1","GMCL1|GMCL2","gmcl1"
"ENSSSAG00000000265","ENSDARG00000034368","ENSG00000049860","hexb","hexb","HEXB","HEXB","hexb"
"ENSSSAG00000000269","ENSDARG00000077760","ENSG00000138303","ascc1","ascc1","ASCC1","ASCC1","ascc1"
"ENSSSAG00000000270","ENSDARG00000070866","ENSG00000178307","tmem11","tmem11","TMEM11","TMEM11","tmem11"
"ENSSSAG00000000272","ENSDARG00000025554","ENSG00000105583","wdr83os","wdr83os","WDR83OS","WDR83OS","wdr83os"
"ENSSSAG00000000273","ENSDARG00000061004","ENSG00000166260","cox11","cox11","COX11","COX11","cox11"
"ENSSSAG00000000277","ENSDARG00000075726","ENSG00000109016","dhrs7b","dhrs7b","DHRS7B","DHRS7B","dhrs7b"
"ENSSSAG00000000278","ENSDARG00000012078","ENSG00000143995","meis1b","meis1b","MEIS1","MEIS1","meis1"
"ENSSSAG00000000279","ENSDARG00000062302","ENSG00000198740","znf652","znf652","ZNF652","ZNF652","znf652"
"ENSSSAG00000000282","ENSDARG00000041533","ENSG00000104957","yju2b","yju2b","YJU2B","YJU2B","yju2b"
"ENSSSAG00000000283","ENSDARG00000104798","NA",NA,"",NA,NA,NA
"ENSSSAG00000000284","ENSDARG00000088246","ENSG00000079134","thoc1","thoc1","THOC1","THOC1","thoc1"
"ENSSSAG00000000286","ENSDARG00000006848","ENSG00000138496","parp9","parp9","PARP9","PARP9","parp9"
"ENSSSAG00000000287","ENSDARG00000057414","ENSG00000167085","phb","phb","PHB1","PHB1","phb1"
"ENSSSAG00000000289","ENSDARG00000076997","ENSG00000166263","stxbp4","stxbp4","STXBP4","STXBP4","stxbp4"
"ENSSSAG00000000290","ENSDARG00000033852","ENSG00000002822","mad1l1","mad1l1","MAD1L1","MAD1L1","mad1l1"
"ENSSSAG00000000299","ENSDARG00000104223","ENSG00000168216","lmbrd1","lmbrd1","LMBRD1","LMBRD1","lmbrd1"
"ENSSSAG00000000303","ENSDARG00000105018","ENSG00000172731","lrrc20","lrrc20","LRRC20","LRRC20","lrrc20"
"ENSSSAG00000000307","ENSDARG00000089511","NA","dtx3la","dtx3la",NA,NA,"dtx3la"
"ENSSSAG00000000312","ENSDARG00000099933","ENSG00000180817","ppa1a","ppa1a","PPA1","PPA1","ppa1"
"ENSSSAG00000000315","ENSDARG00000090338","ENSG00000177706","fam20cb","fam20cb","FAM20C","FAM20C","fam20c"
"ENSSSAG00000000316","ENSDARG00000069940","NA","ppap2d","ppap2d",NA,NA,"ppap2d"
"ENSSSAG00000000317","ENSDARG00000014101","NA","pyroxd2","pyroxd2",NA,NA,"pyroxd2"
"ENSSSAG00000000318","ENSDARG00000074481","ENSG00000177169","ulk1b","ulk1b","ULK1","ULK1","ulk1"
"ENSSSAG00000000319","ENSDARG00000044600","ENSG00000105520","plppr2b","plppr2b","PLPPR2","PLPPR2","plppr2"
"ENSSSAG00000000320","ENSDARG00000040445","ENSG00000173193","parp14rs1","parp14rs1","PARP14","PARP14","parp14"
"ENSSSAG00000000322","ENSDARG00000039616","ENSG00000123219","cenpk","cenpk","CENPK","CENPK","cenpk"
"ENSSSAG00000000328","ENSDARG00000010641","ENSG00000144136","slc20a1b","slc20a1b","SLC20A1","SLC20A1","slc20a1"
"ENSSSAG00000000335","ENSDARG00000059567","NA","radil2a","radil2a",NA,NA,"radil2a"
"ENSSSAG00000000345","ENSDARG00000022525","ENSG00000128285","mchr1b","mchr1b","MCHR1","MCHR1","mchr1"
"ENSSSAG00000000346","ENSDARG00000027357","ENSG00000169217","cd2bp2","cd2bp2","CD2BP2","CD2BP2","cd2bp2"
"ENSSSAG00000000349","ENSDARG00000074069|ENSDARG00000074205|ENSDARG00000093082|ENSDARG00000099508|ENSDARG00000103058|ENSDARG00000109228|ENSDARG00000115164|ENSDARG00000116928","NA","si:dkey-1c7","zgc:171452|si:dkey-1c7.3||zgc:172091",NA,NA,"si:dkey-1c7"
"ENSSSAG00000000352","ENSDARG00000102978","ENSG00000141543","eif4a3","eif4a3","EIF4A3","EIF4A3","eif4a3"
"ENSSSAG00000000357","ENSDARG00000003444","ENSG00000100612","dhrs7","dhrs7","DHRS7","DHRS7","dhrs7"
"ENSSSAG00000000360","ENSDARG00000069632","ENSG00000134531","emp1","emp1","EMP1","EMP1","emp1"
"ENSSSAG00000000362","ENSDARG00000104392","ENSG00000196678","eri2","eri2","ERI2","ERI2","eri2"
"ENSSSAG00000000363","ENSDARG00000038059","NA","grb2b","grb2b",NA,NA,"grb2b"
"ENSSSAG00000000368","ENSDARG00000004037","ENSG00000135775","cog2","cog2","COG2","COG2","cog2"
"ENSSSAG00000000371","ENSDARG00000089232","ENSG00000156858","prr14","prr14","PRR14","PRR14","prr14"
"ENSSSAG00000000376","ENSDARG00000020494","ENSG00000109445","znf330","znf330","ZNF330","ZNF330","znf330"
"ENSSSAG00000000377","ENSDARG00000005586","ENSG00000181722","zbtb20","zbtb20","ZBTB20","ZBTB20","zbtb20"
"ENSSSAG00000000380","ENSDARG00000060941","ENSG00000153930","ankfn1a","ankfn1a","ANKFN1","ANKFN1","ankfn1"
"ENSSSAG00000000381","ENSDARG00000067593","ENSG00000133028","sco1","sco1","SCO1","SCO1","sco1"
"ENSSSAG00000000382","ENSDARG00000042056","ENSG00000129933","mau2","mau2","MAU2","MAU2","mau2"
"ENSSSAG00000000384","ENSDARG00000003127","ENSG00000122203","zgc:123105","zgc:123105","KIAA1191","KIAA1191","kiaa1191"
"ENSSSAG00000000385","ENSDARG00000052438|ENSDARG00000070076","ENSG00000138071","actr2a","actr2a|actr2b","ACTR2","ACTR2","actr2"
"ENSSSAG00000000388","ENSDARG00000053269","ENSG00000197241","slc2a15b","slc2a15b","SLC2A7","SLC2A7","slc2a7"
"ENSSSAG00000000389","ENSDARG00000007285","ENSG00000173141","mrpl57","mrpl57","MRPL57","MRPL57","mrpl57"
"ENSSSAG00000000391","ENSDARG00000059472","ENSG00000031081","arhgap31","arhgap31","ARHGAP31","ARHGAP31","arhgap31"
"ENSSSAG00000000395","ENSDARG00000103951","NA","tspan34a","tspan34a",NA,NA,"tspan34a"
"ENSSSAG00000000398","ENSDARG00000026383","NA","rasd2b","rasd2b",NA,NA,"rasd2b"
"ENSSSAG00000000402","ENSDARG00000074069|ENSDARG00000074205|ENSDARG00000093082|ENSDARG00000099508|ENSDARG00000103058|ENSDARG00000109228|ENSDARG00000115164|ENSDARG00000116928","NA","si:dkey-1c7","zgc:171452|si:dkey-1c7.3||zgc:172091",NA,NA,"si:dkey-1c7"
"ENSSSAG00000000403","ENSDARG00000104042","ENSG00000121578","b4galt4","b4galt4","B4GALT4","B4GALT4","b4galt4"
"ENSSSAG00000000406","ENSDARG00000073998","NA","si:ch211-23l10","si:ch211-23l10.3",NA,NA,"si:ch211-23l10"
"ENSSSAG00000000408","ENSDARG00000026473","ENSG00000126778","six1b","six1b","SIX1","SIX1","six1"
"ENSSSAG00000000409","ENSDARG00000117145","ENSG00000185269","notum1b","notum1b","NOTUM","NOTUM","notum"
"ENSSSAG00000000410","ENSDARG00000029663","ENSG00000174903","rab1ab","rab1ab","RAB1B","RAB1B","rab1b"
"ENSSSAG00000000413","ENSDARG00000010655","ENSG00000163644","ppm1kb","ppm1kb","PPM1K","PPM1K","ppm1k"
"ENSSSAG00000000414","ENSDARG00000004695","ENSG00000177045|ENSG00000227059|ENSG00000100625","six4a","six4a","SIX5","SIX5|ANHX|SIX4","six4a"
"ENSSSAG00000000415","ENSDARG00000078222","ENSG00000181409","aatka","aatka","AATK","AATK","aatk"
"ENSSSAG00000000423","ENSDARG00000061052","ENSG00000164190","nipblb","nipblb","NIPBL","NIPBL","nipbl"
"ENSSSAG00000000424","ENSDARG00000002077","ENSG00000020426","mnat1","mnat1","MNAT1","MNAT1","mnat1"
"ENSSSAG00000000425","ENSDARG00000074069|ENSDARG00000074205|ENSDARG00000093082|ENSDARG00000099508|ENSDARG00000103058|ENSDARG00000109228|ENSDARG00000115164|ENSDARG00000116928","NA","si:dkey-1c7","zgc:171452|si:dkey-1c7.3||zgc:172091",NA,NA,"si:dkey-1c7"
"ENSSSAG00000000426","ENSDARG00000069046","NA","wu:fk65c09","wu:fk65c09",NA,NA,"wu:fk65c09"
"ENSSSAG00000000429","ENSDARG00000060741","ENSG00000103528","syt17","syt17","SYT17","SYT17","syt17"
"ENSSSAG00000000430","ENSDARG00000069249","ENSG00000119844","aftpha","aftpha","AFTPH","AFTPH","aftph"
"ENSSSAG00000000431","ENSDARG00000040874","ENSG00000148700","add3a","add3a","ADD3","ADD3","add3"
"ENSSSAG00000000432","ENSDARG00000098666","ENSG00000148840","si:dkey-93h22","si:dkey-93h22.8","PPRC1","PPRC1","pprc1"
"ENSSSAG00000000434","ENSDARG00000074858","ENSG00000084090","stard7","stard7","STARD7","STARD7","stard7"
"ENSSSAG00000000437","ENSDARG00000060501","ENSG00000166171","dpcd","dpcd","DPCD","DPCD","dpcd"
"ENSSSAG00000000439","ENSDARG00000030376","ENSG00000273079","grin2bb","grin2bb","GRIN2B","GRIN2B","grin2b"
"ENSSSAG00000000442","ENSDARG00000069278","ENSG00000126814","trmt5","trmt5","TRMT5","TRMT5","trmt5"
"ENSSSAG00000000450","ENSDARG00000039613","ENSG00000166169","poll","poll","POLL","POLL","poll"
"ENSSSAG00000000454","ENSDARG00000055100","ENSG00000107562","cxcl12b","cxcl12b","CXCL12","CXCL12","cxcl12"
"ENSSSAG00000000459","ENSDARG00000044144","ENSG00000062650","wapla","wapla","WAPL","WAPL","wapl"
"ENSSSAG00000000467","ENSDARG00000090714|ENSDARG00000116493","ENSG00000171298","gaa","gaa|GAA","GAA","GAA","gaa"
"ENSSSAG00000000468","ENSDARG00000029305","ENSG00000006453","baiap2l1a","baiap2l1a","BAIAP2L1","BAIAP2L1","baiap2l1"
"ENSSSAG00000000472","ENSDARG00000024167","ENSG00000143473","kcnh1a","kcnh1a","KCNH1","KCNH1","kcnh1"
"ENSSSAG00000000473","ENSDARG00000027172","ENSG00000112419","phactr2","phactr2","PHACTR2","PHACTR2","phactr2"
"ENSSSAG00000000474","ENSDARG00000042900","ENSG00000100226","gtpbp1l","gtpbp1l","GTPBP1","GTPBP1","gtpbp1"
"ENSSSAG00000000481","ENSDARG00000101808","NA","si:ch211-271b14","si:ch211-271b14.1",NA,NA,"si:ch211-271b14"
"ENSSSAG00000000483","ENSDARG00000069527","NA","ube2g1b","ube2g1b",NA,NA,"ube2g1b"
"ENSSSAG00000000485","ENSDARG00000061256","ENSG00000172366","mcrip2","mcrip2","MCRIP2","MCRIP2","mcrip2"
"ENSSSAG00000000491","ENSDARG00000039082","NA","zgc:123010","zgc:123010",NA,NA,"zgc:123010"
"ENSSSAG00000000493","ENSDARG00000061414","ENSG00000188827","slx4","slx4","SLX4","SLX4","slx4"
"ENSSSAG00000000496","ENSDARG00000037932","ENSG00000104863","lin7b","lin7b","LIN7B","LIN7B","lin7b"
"ENSSSAG00000000499","ENSDARG00000061414","ENSG00000188827","slx4","slx4","SLX4","SLX4","slx4"
"ENSSSAG00000000501","ENSDARG00000028899","ENSG00000163060|ENSG00000274847","tekt4","tekt4","TEKT4","TEKT4|MAFIP","tekt4"
"ENSSSAG00000000506","ENSDARG00000077361","ENSG00000171634","bptf","bptf","BPTF","BPTF","bptf"
"ENSSSAG00000000508","ENSDARG00000027572","ENSG00000214435","as3mt","as3mt","AS3MT","AS3MT","as3mt"
"ENSSSAG00000000509","ENSDARG00000057882","ENSG00000111229","arpc3","arpc3","ARPC3","ARPC3","arpc3"
"ENSSSAG00000000510","ENSDARG00000016156","ENSG00000189319","fam53b","fam53b","FAM53B","FAM53B","fam53b"
"ENSSSAG00000000511","ENSDARG00000104659","ENSG00000140105","WARS1","WARS1","WARS1","WARS1","wars1"
"ENSSSAG00000000513","ENSDARG00000039434","ENSG00000112038","oprm1","oprm1","OPRM1","OPRM1","oprm1"
"ENSSSAG00000000514","ENSDARG00000039345","ENSG00000185721","drg1","drg1","DRG1","DRG1","drg1"
"ENSSSAG00000000515","ENSDARG00000098584","ENSG00000186010",NA,"","NDUFA13","NDUFA13","ndufa13"
"ENSSSAG00000000516","ENSDARG00000073912|ENSDARG00000078138","NA","si:ch211-202h22","si:ch211-202h22.7|si:ch211-202h22.8",NA,NA,"si:ch211-202h22"
"ENSSSAG00000000518","ENSDARG00000025889","ENSG00000101557","usp14","usp14","USP14","USP14","usp14"
"ENSSSAG00000000522","ENSDARG00000025089","ENSG00000138131","loxl4","loxl4","LOXL4","LOXL4","loxl4"
"ENSSSAG00000000525","ENSDARG00000096651","ENSG00000125734","gpr108","gpr108","GPR108","GPR108","gpr108"
"ENSSSAG00000000526","ENSDARG00000101010|ENSDARG00000113721","ENSG00000186603","hpdl","hpdl|HPDL","HPDL","HPDL","hpdl"
"ENSSSAG00000000527","ENSDARG00000079980","NA","si:ch211-202h22","si:ch211-202h22.9",NA,NA,"si:ch211-202h22"
"ENSSSAG00000000530","ENSDARG00000044600","ENSG00000105520","plppr2b","plppr2b","PLPPR2","PLPPR2","plppr2"
"ENSSSAG00000000532","ENSDARG00000069525","ENSG00000111231","gpn3","gpn3","GPN3","GPN3","gpn3"
"ENSSSAG00000000533","ENSDARG00000075054","ENSG00000113319","rasgrf2a","rasgrf2a","RASGRF2","RASGRF2","rasgrf2"
"ENSSSAG00000000536","ENSDARG00000062515","ENSG00000205356","tecpr1a","tecpr1a","TECPR1","TECPR1","tecpr1"
"ENSSSAG00000000544","ENSDARG00000060415","ENSG00000214944","arhgef28a","arhgef28a","ARHGEF28","ARHGEF28","arhgef28"
"ENSSSAG00000000545","ENSDARG00000102071","ENSG00000140107","slc25a47b","slc25a47b","SLC25A47","SLC25A47","slc25a47"
"ENSSSAG00000000550","ENSDARG00000088862","ENSG00000168952","stxbp6","stxbp6","STXBP6","STXBP6","stxbp6"
"ENSSSAG00000000553","ENSDARG00000044567","ENSG00000113312","ttc1","ttc1","TTC1","TTC1","ttc1"
"ENSSSAG00000000555","ENSDARG00000074266","ENSG00000164898","si:ch1073-314i13","si:ch1073-314i13.4","FMC1","FMC1","fmc1"
"ENSSSAG00000000556","ENSDARG00000013351|ENSDARG00000103672","NA","cirbpa","cirbpb|cirbpa",NA,NA,"cirbpa"
"ENSSSAG00000000557","ENSDARG00000078733","ENSG00000148842","cnnm2b","cnnm2b","CNNM2","CNNM2","cnnm2"
"ENSSSAG00000000558","ENSDARG00000039354","NA","ska1","ska1",NA,NA,"ska1"
"ENSSSAG00000000562","ENSDARG00000013460","ENSG00000127578","wfikkn2a","wfikkn2a","WFIKKN1","WFIKKN1","wfikkn1"
"ENSSSAG00000000564","ENSDARG00000069521","ENSG00000111237","vps29","vps29","VPS29","VPS29","vps29"
"ENSSSAG00000000569","ENSDARG00000018107","ENSG00000105514","rab3da","rab3da","RAB3D","RAB3D","rab3d"
"ENSSSAG00000000570","ENSDARG00000075526|ENSDARG00000114922","ENSG00000170234","pwwp2a","pwwp2a|","PWWP2A","PWWP2A","pwwp2a"
"ENSSSAG00000000571","ENSDARG00000098832","ENSG00000054965","fam168a","fam168a","FAM168A","FAM168A","fam168a"
"ENSSSAG00000000580","ENSDARG00000044566","ENSG00000170231","fabp6","fabp6","FABP6","FABP6","fabp6"
"ENSSSAG00000000581","ENSDARG00000102257","NA","soul3","soul3",NA,NA,"soul3"
"ENSSSAG00000000582","ENSDARG00000034060","ENSG00000006744","elac2","elac2","ELAC2","ELAC2","elac2"
"ENSSSAG00000000589","ENSDARG00000077116","ENSG00000135083","ccnjl","ccnjl","CCNJL","CCNJL","ccnjl"
"ENSSSAG00000000590","ENSDARG00000074428","ENSG00000054392","hhat","hhat","HHAT","HHAT","hhat"
"ENSSSAG00000000591","ENSDARG00000042881","ENSG00000065057","nthl1","nthl1","NTHL1","NTHL1","nthl1"
"ENSSSAG00000000593","ENSDARG00000053744","NA","dcdc2b","dcdc2b",NA,NA,"dcdc2b"
"ENSSSAG00000000594","ENSDARG00000103951","NA","tspan34a","tspan34a",NA,NA,"tspan34a"
"ENSSSAG00000000600","ENSDARG00000102730","ENSG00000109339","mapk10","mapk10","MAPK10","MAPK10","mapk10"
"ENSSSAG00000000602","ENSDARG00000018382","ENSG00000027075","prkcha","prkcha","PRKCH","PRKCH","prkch"
"ENSSSAG00000000604","ENSDARG00000079805","ENSG00000144834","tagln3a","tagln3a","TAGLN3","TAGLN3","tagln3"
"ENSSSAG00000000606","ENSDARG00000043395","ENSG00000146215","crip3","crip3","CRIP3","CRIP3","crip3"
